#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server. This first one may take a while as it pulls many other dependencies first on clean installs."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,polkit,"manages user policies."
,libertinus-font,"provides the sans and serif fonts for KARBS."
,ttf-font-awesome,"provides extended glyph support."
,ttf-dejavu,"properly displays emojis."
,arandr,"allows the user to customize monitor arrangements."
,bc,"is used for a dropdown calculator."
,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,arandr,"allows the user to customize monitor arrangements."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,nsxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,ffmpegthumbnailer,"creates thumbnail previews of video files."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,python-qdarkstyle,"provides a dark Qt theme."
,neovim,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,noto-fonts,"is an expansive font package."
,noto-fonts-emoji,"is an emoji font."
,ttf-hack,"is just good font."
,ntfs-3g,"allows accessing NTFS partitions."
,wireplumber,"is the audio system."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,pulsemixer,"is an audio controller."
,pamixer,"is a command-line audio interface."
A,abook,"is an offline addressbook usable by neomutt."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,lynx,"is a terminal browser."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,bat,"can highlight code output and display files."
,xorg-xbacklight,"enables changing screen brightness levels."
A,zsh-fast-syntax-highlighting-git,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
A,htop-vim,"is a graphical and colorful system monitor."
G,https://github.com/katrushenkov/dwmblocks.git,"serves as the modular status bar."
G,https://github.com/katrushenkov/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/katrushenkov/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/katrushenkov/dwm.git,"is the window manager."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,socat,"is a utility which establishes two byte streams and transfers data between them."
,moreutils,"is a collection of useful unix tools."
,flameshot,"allows you to make screenshot and quickly edit them."
,simple-scan,"for documents scanning"
,remmina,"for remote connections"
,thunderbird,"I cannot live with only neomutt..."
,transmission-cli,"let's torrent everything!"
,transmission-gtk,"let's torrent with GUI!"
,keepassxc,"is password manager."
,nnn,"is fast cli file manager."
,cava-git,"is music visualizer."
A,zsh-theme-powerlevel10k-git,"zsh powerline10k theme."
,zsh-autosuggestions, "zsh autosuggestion plugin"
,screenkey, "A screencast tool to display your keys inspired by Screenflick."
,xkblayout-state-git, "is CLI-utility for change layout via dwmblocks"
A,googler, "is a CLI-tool for Google search"
,imagemagick, "is image converter/editor/composer"
,thunar,"is GUI file manager"
,thunar-archive-plugin,"is archive plugin for Thunar"
,xf86-video-intel,"for brightness control"
,syncthing,"for synchronization"
A,xkb-switch,"set layout for nvim config"
A,eza-git,"modern ls replacement"
,xorg-xinput,"is for touchpad toggle"
